# Temperature (C), Mass Fraction
2.6850e+01,1.0000e+00
2.7017e+01,1.0000e+00
2.7183e+01,1.0000e+00
2.7350e+01,1.0000e+00
2.7517e+01,1.0000e+00
2.7683e+01,1.0000e+00
2.7850e+01,1.0000e+00
2.8017e+01,1.0000e+00
2.8184e+01,1.0000e+00
2.8350e+01,1.0000e+00
2.8517e+01,1.0000e+00
2.8684e+01,1.0000e+00
2.8850e+01,1.0000e+00
2.9017e+01,1.0000e+00
2.9184e+01,1.0000e+00
2.9350e+01,1.0000e+00
2.9517e+01,1.0000e+00
2.9684e+01,1.0000e+00
2.9851e+01,1.0000e+00
3.0017e+01,1.0000e+00
3.0184e+01,1.0000e+00
3.0351e+01,1.0000e+00
3.0517e+01,1.0000e+00
3.0684e+01,1.0000e+00
3.0851e+01,1.0000e+00
3.1017e+01,1.0000e+00
3.1184e+01,1.0000e+00
3.1351e+01,1.0000e+00
3.1518e+01,1.0000e+00
3.1684e+01,1.0000e+00
3.1851e+01,1.0000e+00
3.2018e+01,1.0000e+00
3.2184e+01,1.0000e+00
3.2351e+01,1.0000e+00
3.2518e+01,1.0000e+00
3.2684e+01,1.0000e+00
3.2851e+01,1.0000e+00
3.3018e+01,1.0000e+00
3.3185e+01,1.0000e+00
3.3351e+01,1.0000e+00
3.3518e+01,1.0000e+00
3.3685e+01,1.0000e+00
3.3851e+01,1.0000e+00
3.4018e+01,1.0000e+00
3.4185e+01,1.0000e+00
3.4351e+01,1.0000e+00
3.4518e+01,1.0000e+00
3.4685e+01,1.0000e+00
3.4851e+01,1.0000e+00
3.5018e+01,1.0000e+00
3.5185e+01,1.0000e+00
3.5352e+01,1.0000e+00
3.5518e+01,1.0000e+00
3.5685e+01,1.0000e+00
3.5852e+01,1.0000e+00
3.6018e+01,1.0000e+00
3.6185e+01,1.0000e+00
3.6352e+01,1.0000e+00
3.6518e+01,1.0000e+00
3.6685e+01,1.0000e+00
3.6852e+01,1.0000e+00
3.7019e+01,1.0000e+00
3.7185e+01,1.0000e+00
3.7352e+01,1.0000e+00
3.7519e+01,1.0000e+00
3.7685e+01,1.0000e+00
3.7852e+01,1.0000e+00
3.8019e+01,1.0000e+00
3.8185e+01,1.0000e+00
3.8352e+01,1.0000e+00
3.8519e+01,1.0000e+00
3.8686e+01,1.0000e+00
3.8852e+01,1.0000e+00
3.9019e+01,1.0000e+00
3.9186e+01,1.0000e+00
3.9352e+01,1.0000e+00
3.9519e+01,1.0000e+00
3.9686e+01,1.0000e+00
3.9852e+01,1.0000e+00
4.0019e+01,1.0000e+00
4.0186e+01,1.0000e+00
4.0353e+01,1.0000e+00
